"","hh_ID","ind_ID","female","age","trip_ID","trip_distance","trip_time","trip_main_mode","weight_trip","trip_purpose"
"1",30196,542,0,36,1,0.98,16,"Walk",804.359417,0
"2",30196,542,0,36,2,0.98,15,"Walk",804.359417,0
"3",30196,543,1,27,1,0.98,16,"Walk",804.359417,0
"4",30196,543,1,27,2,4.495,44,"Omnibus",804.359417,1
"5",30196,543,1,27,3,4.709,30,"Omnibus",804.359417,0
"6",30196,543,1,27,4,1.261,35,"Metro",716.40146,0
"7",30196,544,0,4,1,0.98,15,"Walk",804.359417,0
"8",30196,544,0,4,2,0.98,15,"Walk",804.359417,0
"9",30197,1064,0,41,1,0.395,15,"Walk",804.359417,1
"10",30197,1064,0,41,2,0.006,5,"Walk",804.359417,0
"11",30197,1064,0,41,3,0.006,5,"Walk",804.359417,1
"12",30197,1064,0,41,4,0.395,15,"Walk",804.359417,1
"13",30197,1065,1,35,1,0.395,15,"Walk",804.359417,1
"14",30197,1065,1,35,2,0.006,5,"Walk",804.359417,0
"15",30197,1065,1,35,3,0.006,5,"Walk",804.359417,1
"16",30197,1065,1,35,4,0.395,15,"Walk",804.359417,1
"18",30197,1067,1,15,1,7.252,90,"Omnibus",804.359417,0
"19",30197,1067,1,15,2,7.252,90,"Omnibus",804.359417,0
"20",30197,1067,1,15,3,1.283,30,"Walk",804.359417,0
"21",30197,1067,1,15,4,1.283,30,"Walk",804.359417,0
"22",30197,1068,1,14,1,1.283,30,"Walk",804.359417,0
"23",30197,1068,1,14,2,1.283,30,"Walk",804.359417,0
"25",30626,23534,0,37,1,5.625,40,"Metro",716.40146,1
"26",30626,23534,0,37,2,5.625,50,"Metro",716.40146,1
"27",30626,23535,1,40,1,2.261,15,"Metro",716.40146,1
"28",30626,23535,1,40,2,2.261,15,"Metro",716.40146,1
"29",30626,23536,0,16,1,0.998,30,"Walk",804.359417,0
"30",30626,23536,0,16,2,0.998,30,"Walk",804.359417,0
"31",30626,23536,0,16,3,0.562,30,"Walk",804.359417,1
"32",30626,23536,0,16,4,0.562,30,"Walk",804.359417,1
"33",30626,23537,1,8,1,31.991,15,"Walk",804.359417,0
"34",30626,23537,1,8,2,31.991,15,"Walk",804.359417,0
"35",30631,5970,0,56,1,6.9,10,"Walk",804.359417,1
"36",30631,5970,0,56,2,6.9,10,"Walk",804.359417,1
"37",30631,5971,1,54,1,0.101,5,"Walk",804.359417,1
"38",30631,5971,1,54,2,0.101,5,"Walk",804.359417,1
"39",30631,5972,0,21,1,2.574,30,"Metro",716.40146,1
"40",30631,5972,0,21,2,16.505,78,"Metro",716.40146,0
"41",30631,5972,0,21,3,16.25,74,"Metro",716.40146,0
"43",30201,564,1,64,1,1.006,90,"Walk",804.359417,0
"44",30201,564,1,64,2,1.006,90,"Walk",804.359417,0
"45",30201,565,1,33,1,8.207,30,"Car",804.359417,1
"46",30201,565,1,33,2,4.521,20,"Car",804.359417,0
"47",30201,565,1,33,3,12.588,60,"Car",804.359417,0
"48",30204,566,1,70,1,0.084,5,"Walk",804.359417,0
"49",30204,566,1,70,2,0.084,5,"Walk",804.359417,0
"50",30206,193,1,27,1,1.627,30,"Walk",804.359417,1
"51",30206,193,1,27,2,1.627,40,"Walk",804.359417,1
"52",30206,194,0,8,1,1.627,30,"Walk",804.359417,1
"53",30206,194,0,8,2,1.218,30,"Walk",804.359417,0
"54",30206,194,0,8,3,1.218,30,"Walk",804.359417,0
"55",30206,194,0,8,4,1.627,40,"Walk",804.359417,0
"56",30206,195,1,14,1,2.488,60,"Walk",804.359417,0
"57",30206,195,1,14,2,2.488,30,"Walk",804.359417,0
"59",30207,4432,1,33,1,0.735,30,"Walk",804.359417,0
"60",30207,4432,1,33,2,0.735,30,"Walk",804.359417,0
"61",30207,4433,1,11,1,1.013,15,"Car",804.359417,0
"62",30207,4433,1,11,2,1.013,10,"Car",804.359417,0
"64",30635,14623,0,49,1,0.444,15,"Walk",804.359417,1
"65",30635,14623,0,49,2,0.444,15,"Walk",804.359417,1
"66",30635,14624,1,37,1,0.781,30,"Walk",804.359417,1
"67",30635,14624,1,37,2,0.781,30,"Walk",804.359417,1
"68",30635,14625,1,8,1,1.687,40,"Bus",804.359417,0
"69",30635,14625,1,8,2,1.687,40,"Bus",804.359417,0
"71",30637,24064,1,43,1,2.869,45,"Omnibus",804.359417,1
"72",30637,24064,1,43,2,2.869,75,"Omnibus",804.359417,1
"73",30637,24065,0,20,1,0.791,15,"Walk",804.359417,1
"74",30637,24065,0,20,2,0.791,15,"Walk",804.359417,1
"76",30639,23653,0,49,1,0.977,20,"Walk",804.359417,1
"79",30640,6168,1,45,1,13.385,85,"Metro",716.40146,1
"80",30640,6168,1,45,2,13.385,90,"Metro",716.40146,1
"81",30643,23644,1,52,1,11.172,90,"Metro",716.40146,1
"82",30643,23644,1,52,2,11.172,55,"Metro",716.40146,1
"83",30643,23645,1,25,1,18.249,58,"Metro",716.40146,1
"84",30643,23645,1,25,2,18.249,100,"Metro",716.40146,1
"85",30644,23667,1,48,1,3.371,30,"Metro",716.40146,1
"86",30644,23667,1,48,2,3.371,30,"Metro",716.40146,1
"87",30644,23668,0,17,1,0.815,15,"Walk",804.359417,0
"88",30644,23668,0,17,2,0.815,15,"Walk",804.359417,0
"89",30644,23668,0,17,3,0.429,12,"Walk",804.359417,1
"90",30644,23668,0,17,4,0.429,15,"Walk",804.359417,1
"91",30644,23669,0,11,1,0.815,15,"Walk",804.359417,0
"92",30644,23669,0,11,2,0.815,15,"Walk",804.359417,0
"93",30646,16003,1,82,1,0.543,10,"Walk",804.359417,0
"94",30646,16003,1,82,2,0.319,10,"Car",804.359417,0
